Id 	Name 	User Story	How to demo 	Importance (10,20..) 	Definition of Done		Suggerimenti
1	Consultazione Catalogo Prodotti e Informazioni di Contatti Aziendali	Come utente, voglio visualizzare informazioni sulle aziende locali, affinchè possa raggiungere l'azienda/comprare i suoi prodotti. 	Effettuare l'accesso alla piattaforma come consumatore e cercare un'azienda specifica tramite la lista o la mappa. Il sistema mostra l'anteprima dell'azienda con i dati salienti. Cliccare sulla scheda dell'azienda e scorrere fino alla sezione "Dove trovarci e Contatti". Sono chiaramente visibili i canali di comunicazione ufficiali, quali indirizzo della sede/punto vendita, numero di telefono (con link rapido per chiamare da smartphone), indirizzo email (con link per aprire il client di posta), orari di apertura dello spaccio aziendale. Cliccare sulla scheda o sulla tab "I nostri Prodotti" all'interno della pagina aziendale. Il sistema mostra il catalogo completo dei prodotti offerti dall'azienda. Ogni prodotto deve presentare nome e immagine del prodotto, prezzo di vendita consigliato, eventuali certificazioni (es. Biologico, DOP). Cliccare su un prodotto specifico dal catalogo dell'azienda. L'utente viene indirizzato a una pagina di dettaglio del prodotto che mostra la disponibilità attuale e i lotti attivi. Da qui, il consumatore può procedere all'acquisto (se l'e-commerce è integrato) o vedere la filiera completa della materia prima tramite i dati dei sensori IoT.	250			1. Ricerca: Cercare un'azienda tramite mappa o lista e verificare che l'anteprima mostri correttamente i dati salienti (nome, categoria). 2. Info di Contatto: Accedere al profilo azienda e verificare che nella sezione "Contatti" siano presenti e funzionanti i link per la chiamata rapida, l'invio email e le indicazioni stradali.
2	Consultazione Info Filiera	Come utente, voglio consultare informazioni relative all'origine del prodotto, affinchè possa conoscere la sostenibilità dei prodotti acquistati. 	Scansionare il QR code sulla confezione del prodotto oppure inserire manualmente il codice del lotto nella barra di ricerca della piattaforma. Il sistema riconosce il lotto e apre la pagina "Certificato di Filiera" del prodotto specifico. Consultare la mappa o la cronologia della filiera presente nella pagina. Vengono mostrate tutte le tappe del prodotto con le relative date, quali luogo di produzione, luogo di trasformazione/conefzionamento e luogo di distribuzione, con nome del distributore e data di arrivo al punto vendita. Scorrere la pagina fino alla sezione "Parametri di Sostenibilità". Il sistema mostra dati chiari e grafici che certificano l'impatto etico e ambientale, quali Km Zero, Certificazioni Aziendali e Benessere Animale. Cliccare sulla sezione "Gli animali di questo lotto". Il consumatore può vedere i codici identificativi (o i nomi) delle mucche del lotto, rafforzando il legame di fiducia tra produttore e consumatore finale.	300			Punto 1: Trigger di Accesso Scansionare il QR code sulla confezione del prodotto oppure inserire manualmente il codice del lotto nella barra di ricerca della piattaforma. Verificare che il sistema riconosca immediatamente il lotto e apra la pagina specifica "Certificato di Filiera".  Punto 2: Viaggio del Prodotto  Verificare che vengano mostrate tutte le tappe previste con le relative date e i nomi dei soggetti coinvolti.   Punto 3: Trasparenza Totale (Dettaglio Capi) Cliccare sulla sezione dedicata "Gli animali di questo lotto". Il sistema deve mostrare i codici identificativi o i nomi dei singoli animali da cui proviene la materia prima del lotto selezionato, validando la promessa di trasparenza verso il consumatore.
3	Ricerca Aziende per prossimità	Come utente, voglio conoscere le realtà vicino a me, affinchè possa scegliere l'azienda che fa per me. 	Entrare nella piattaforma e accedere alla mappa interattiva.  Abilitare l'accesso alla propria posizione o, in alternativa, visualizzare sulla mappa la zona a sè circostante. Individuare le icone delle aziende che si trovano nelle vicinanze e cliccarvi sopra per aprire la scheda informativa dedicata.	240			
4	Salvataggio Preferiti	Come consumatore autenticato, voglio aggiungere ai miei preferiti le aziende scelte, affinchè possa differenziarle come aziende di mio interesse. 	Fare il Login come "Consumatore". Una volta selezionata l'azienda d'interesse, cliccare su "Salva tra i Preferiti" per aggiungerla alla lista dei Preferiti. Visualizzare poi la lista completa dei Preferiti per verificare che l'azienda appena salvata vi compaia.	420			
5	Info Filiera Dettagliate	Come consumatore autenticato, voglio avere accesso a dati di produzione maggiormente dettagliati, affinchè possa conoscere l'intera filiera produttiva legata al prodotto acquistato.  	Effettuare il login come "Consumatore" ed entrare nella scheda di un lotto specifico (es. scansionando il QR code). Il sistema riconosce l'utente autenticato e sblocca la sezione "Dettagli Avanzati di Filiera" (precedentemente nascosta o oscurata per gli utenti ospiti). Cliccare sulla tab "Benessere Animale Avanzato". Vengono mostrati i dati registrati dai sensori IoT applicati alle mucche che hanno contribuito a quel lotto, relativi alla settimana di mungitura, quali grafico delle ore medie di ruminazione giornaliera, temperatura corporea media degli animali (per certificare l'assenza di stati febbrili/stress), livello di movimento e riposo calcolato in ore. Scorrere fino alla sezione "Alimentazione e Trattamenti". L'utente visualizza informazioni dettagliate sulla gestione della stalla nel periodo di produzione, quali tipologia di mangimi utilizzati (es. 100% fieno locale senza insilati), registro dei trattamenti (es. Assenza di trattamenti antibiotici nei 30 giorni precedenti la mungitura). Aprire la sezione "Dati di Stabilimento e Distribuzione". Sono visibili i dettagli tecnici del processo industriale, quali orario esatto di mungitura, di arrivo allo stabilimento e di pastorizzazione/trasformazione, parametri di laboratorio del latte alla ricezione (es. percentuale di grasso, proteine e carica batterica), temperatura della catena del freddo registrata durante il trasporto dal distributore fino al supermercato.	310			
6	Recensioni	Come consumatore autenticato, voglio recensire le aziende in cui ho acquistato, affinchè possa esprimere la mia opinione sull'esperienza vissuta presso l'azienda. 	Effettuare il login come "Consumatore", navigare nella pagina profilo dell'azienda da recensire e cliccare sul pulsante "Scrivi una Recensione". Il sistema apre un modulo (form) di inserimento con i campi valutazione numerica (es. da 1 a 5 stelle), titolo della recensione, testo del commento (opzionale o con lunghezza minima). Provare a inviare la recensione senza selezionare il punteggio in stelle. Il sistema blocca l'invio, evidenzia il campo mancante in rosso e mostra un messaggio di errore. Inserire una valutazione di 5 stelle, aggiungere il testo "Ottimi prodotti e filiera trasparente!" e cliccare su "Invia Recensione". Il modulo si chiude e il sistema mostra un messaggio di successo ("Grazie! La tua recensione è stata pubblicata"). La recensione compare immediatamente in cima alla lista delle recensioni dell'azienda, mostrando il nome (o pseudonimo) dell'utente, la data corrente e il commento. Osservare il punteggio medio dell'azienda (es. visualizzato sotto il nome dell'azienda o sulla mappa). Il sistema aggiorna istantaneamente la media complessiva delle recensioni dell'azienda per riflettere il nuovo voto appena inserito.	440			
7	Sign up 	Come utente, voglio registrarmi, affinchè possa usufruire di tutte le funzionalità offerte dall'applicazione. 	Aprire l'applicazione, cliccare su "Registrati" e selezionare il proprio profilo. Il sistema mostra i campi corretti da compilare in base al ruolo scelto. Inserire un'email non valida (es. nome@prova) o una password troppo corta (es. 123) e cliccare su "Invia". Il sistema blocca la registrazione e mostra messaggi di errore specifici sotto i campi errati (es. "Inserisci un'email valida", "La password deve contenere almeno 8 caratteri"). Tentare di registrarsi utilizzando un indirizzo email già presente nel database. Il sistema impedisce la creazione dell'account e restituisce un avviso: "Questo indirizzo email è già associato a un account". Compilare tutti i campi con dati validi (es. utente_test@email.it, password sicura) e cliccare su "Registrati". Il sistema salva il nuovo record nel database (con la password cifrata tramite hash). Viene mostrato un messaggio di successo: "Registrazione completata con successo!". L'utente viene autenticato automaticamente o reindirizzato alla pagina di login, pronto per esplorare le funzionalità dedicate al suo ruolo.	60			
8	Log in 	Come utente, voglio autenticarmi, affinchè possa accedere alla applicazione.	Aprire la pagina di Login, inserire l'email e la password corrette usate in fase di registrazione e cliccare su "Accedi". Il sistema valida le credenziali e genera un token di sessione sicuro. L'utente viene autenticato e reindirizzato alla sua dashboard personale. Inserire un indirizzo email valido ma una password sbagliata, oppure un'email non registrata, e cliccare su "Accedi". Il sistema nega l'accesso e viene mostrato un messaggio di errore generico per non far capire a un eventuale malintenzionato se l'email esiste o meno nel database. Lasciare i campi vuoti e cliccare su "Accedi". Il sistema blocca la richiesta a livello locale (frontend) ed evidenzia i campi obbligatori in rosso. Effettuare il login come Consumatore. L'utente visualizza l'interfaccia consumatore con la lista delle aziende preferite e la mappa degli allevamenti. Effettuare il login come Azienda. L'utente visualizza l'interfaccia aziendale con i dati della propria stalla, l'elenco delle mucche e i sensori IoT.	70			
9	Log out	Come utente, voglio disconnettermi, affinchè durante il non utilizzo, l'applicazione sia messa in sicurezza. 	Da utente autenticato (Consumatore o Azienda), cliccare sull'icona del proprio profilo e selezionare il pulsante "Disconnettiti" o "Logout". Il sistema invalida e distrugge il token di sessione (es. JWT) memorizzato nel dispositivo/browser. L'utente viene immediatamente reindirizzato alla pagina iniziale pubblica o alla schermata di Login. Viene mostrato un breve messaggio di conferma: "Disconnessione effettuata con successo". Subito dopo il logout, provare a tornare indietro nel browser cliccando sulla freccia "Indietro" (Back) per visualizzare l'ultima pagina privata visitata. Il sistema intercetta la richiesta, riconosce che la sessione non è più attiva e reindirizza forzatamente l'utente alla pagina di login, impedendo la visualizzazione di dati sensibili in cache. Provare a inserire manualmente nella barra degli indirizzi l'URL di una pagina privata. L'accesso viene negato e il sistema reindirizza l'utente alla pagina di login con un messaggio: "Accesso negato. È necessario autenticarsi per visualizzare questa pagina".	80			
10	Recupera password 	Come utente, voglio poter recuperare la password del mio account affinchè, in caso di dimenticanza, io possa comunque accedere al mio account.  	Nella pagina di Login, cliccare sul link "Password dimenticata?", inserire il proprio indirizzo email registrato e cliccare su "Invia link di ripristino". Il sistema verifica la presenza dell'email nel database. Mostra un messaggio di conferma: "Se l'indirizzo email inserito è corretto, riceverai a breve un link per reimpostare la password". L'utente riceve un'email contenente un link con un token di sicurezza univoco e a scadenza. Inserire un'email non presente nel database e cliccare su "Invia link di ripristino". Il sistema mostra lo stesso messaggio di conferma del punto precedente. Questo previene il "User Enumeration Attack". Cliccare sul link ricevuto via email per aprire la schermata di "Reimposta Password", inserire una nuova password debole (es. 123) e cliccare su "Salva". Il sistema blocca l'operazione e richiede il rispetto dei criteri minimi di sicurezza. Inserire una nuova password valida, confermarla nel secondo campo e cliccare su "Salva". Il sistema valida la password, sovrascrive il vecchio hash nel database con quello della nuova password e invalida il token di reset. Viene mostrato un messaggio di successo: "La tua password è stata aggiornata con successo". L'utente viene reindirizzato alla pagina di login, dove può accedere inserendo l'email e la nuova password appena creata.	90			
11	Inserimento dati allevamento	Come azienda, voglio inserire le informazioni relative al mio allevamento, affinchè tutti i dati siano nel mio sistema. 	Effettuare il login come "Azienda" appena registrata e cliccare sul pulsante "Configura il tuo Allevamento" nella dashboard. Il sistema apre un modulo di inserimento dati con i seguenti campi obbligatori quali nome dell'alelvamento, codice aziendale ASL, indirizzo completo, tipologia di allevamento. Provare a salvare il modulo lasciando il campo "Codice Aziendale ASL" vuoto o inserendo un formato non valido. Il sistema blocca il salvataggio, evidenzia il campo in errore e mostra un messaggio specifico: "Il Codice ASL è obbligatorio e deve rispettare il formato standard nazionale. Compilare tutti i campi con dati validi e cliccare su "Salva Allevamento". Il sistema valida l'input e salva l'entità nel database. L'utente riceve un messaggio di successo: "Allevamento configurato correttamente!". La dashboard aziendale si aggiorna sbloccando le sezioni per aggiungere i singoli animali (Mucche), i dispositivi IoT e i lotti di produzione. Verificare le informazioni salvate nella scheda dell'allevamento. Il sistema, a partire dall'indirizzo inserito, ha calcolato automaticamente le coordinate geografiche (latitudine e longitudine) tramite l'integrazione con le API delle mappe, pronte per essere visualizzate dai consumatori.	140			
12	Gestione area di pascolo 	Come azienda, voglio inserire le informazioni relative all'area di pascolo, affinchè possa risalire ad alcune variabili che determinano la qualità del mio prodotto. 	Effettuare il login come "Azienda", andare nella sezione "Gestione Terreni / Pascoli" e cliccare su "Aggiungi Area di Pascolo". Il sistema apre un modulo con campi specifici per le variabili ambientali, quali identificativo (nome del pascolo), estensione (superficie in ettari), tipo di erba (vegetazione prevalente), altitudine (quota media s.l.m.). Selezionare l'area appena creata e assegnarvi un gruppo di mucche o un intero lotto di animali per il periodo corrente. Il sistema registra il movimento degli animali dal ricovero invernale/stalla al pascolo. Viene salvato lo storico. Provare a inserire valori fuori scala (es. un'altitudine negativa). Il sistema blocca il salvataggio tramite controlli di validità e mostra un messaggio di errore: "Inserisci parametri validi per l'area di pascolo". Visualizzare la scheda di un lotto di latte appena munto dal gruppo di mucche al pascolo. Nella scheda del lotto il sistema calcola automaticamente la correlazione, mostrando un riepilogo delle variabili.	470			
13	Inserimento dati mucca 	Come azienda, voglio inserire nel sistema le anagrafiche dei miei animali, affinché possa visualizzare tutte le loro cartelle cliniche.	Effettuare il login come "Azienda", andare nella sezione "Gestione Mandria" e cliccare su "Aggiungi Capo / Mucca". Il sistema mostra un modulo di inserimento per l'anagrafica dell'animale con i seguenti campi: codice auricolare mucca (ID univoco nazionale), nome/ID interno, data di nascita, razza. Inserire dati validi e cliccare su "Salva Animale". Il sistema salva l'animale nel database. In automatico, il sistema crea e associa una Cartella Clinica vuota legata a quel codice auricolare. Viene mostrato un messaggio: "Capo registrato con successo. Cartella clinica creata". Aprire la scheda della mucca appena creata, andare nella tab "Cartella Clinica" e cliccare su "Aggiungi Evento Sanitario". Si apre un modulo per inserire i dati della visita, quali tipo evento, data evento, diagnosi/note, veterinario responsabile. Cliccare sul profilo dell'animale e selezionare "Visualizza Storico Clinico". Il sistema mostra l'elenco cronologico di tutti gli interventi sanitari registrati per quell'animale. Viene evidenziato chiaramente lo stato di salute attuale.	170			
14	Notifica parametri anomali 	Come azienda, voglio essere notificato della presenza di parametri anomali nelle mie vacche affinché io possa intervenire per preservare la loro salute e stato di benessere.	Tramite un simulatore IoT (o inserendo manualmente un record di test), inviare una misurazione anomala per una specifica mucca. Il sistema di backend elabora la misurazione, confronta i dati con le soglie limite (definite tramite regole OCL o logica di business) e identifica l'anomalia istantaneamente. Rimanere sulla dashboard aziendale (Web o App Mobile) mentre avviene la simulazione. L'utente riceve immediatamente una notifica push o un banner in evidenza a schermo. Viene inviata in parallelo un'email o un SMS di avviso all'allevatore se l'alert è classificato come "Critico". Cliccare sulla notifica appena ricevuta.  L'utente viene reindirizzato alla scheda dell'animale, dove il sistema evidenzia in rosso i parametri fuori norma: - Un grafico temporale mostra l'impennata della temperatura negli ultimi rilevamenti. - Viene mostrato un suggerimento d'azione (es. "Si consiglia di isolare l'animale e contattare il veterinario"). Cliccare sul pulsante "Prendi in carico" o "Segna come risolto" all'interno della notifica. L'alert cambia stato (da Attivo a In gestione). Nella cartella clinica della mucca viene registrata automaticamente una nota: "Rilevato picco termico in data 02/05/2026 - Preso in carico dall'allevatore". Il contatore delle notifiche non lette nella dashboard si azzera.	480			
15	Tracciamento fattori di qualità	Come azienda, voglio tenere traccia della qualità dei miei prodotti, affinché vengano distinti i fattori che la determinano.	Effettuare il login come "Azienda", navigare nella sezione "Gestione Lotti di Produzione", selezionare un lotto di materia prima e cliccare su "Aggiungi Analisi di Qualità". Il sistema apre un modulo per l'inserimento dei dati di laboratorio con i seguenti parametri: percentuale di grasso, percentuale di proteine, carica batterica, cellule somatiche. Provare a inserire valori fuori norma o non realistici. Il sistema blocca il salvataggio evidenziando l'errore: "I valori inseriti non rispettano i parametri biologici standard. Verifica i dati di laboratorio". Inserire parametri ottimali e cliccare su "Salva e Calcola". I dati vengono salvati e legati al lotto nel database. Il sistema elabora istantaneamente un Livello di Qualità e genera un badge visivo. Viene mostrato un riepilogo: "Qualità del lotto calcolata: Eccellente. Il prodotto soddisfa i criteri per il marchio Alta Qualità." Accedere alla tab "Report Qualità" nella dashboard aziendale. Il sistema mostra un grafico sull'andamento dei fattori di qualità negli ultimi mesi. L'azienda può così correlare un calo di proteine o grasso nel latte con il cambio di alimentazione degli animali o con le condizioni climatiche registrate dai sensori IoT.	390			
