Id 	Name 	User Story	How to demo 	Importance (10,20..) 	Check di conferma
1	Consultazione Catalogo Prodotti e Informazioni di Contatti Aziendali	Come utente, voglio visualizzare informazioni sulle aziende locali, affinchè possa raggiungere l'azienda/comprare i suoi prodotti. 	Accedere all'applicazione web e cercare un'azienda specifica tramite la lista o la mappa. Il sistema mostra l'anteprima dell'azienda con i dati salienti. Cliccare sulla scheda dell'azienda e scorrere fino alla sezione "Dove trovarci e Contatti". Sono chiaramente visibili i canali di comunicazione ufficiali quali indirizzo della sede/punto vendita, numero di telefono (con link rapido per chiamare da smartphone), indirizzo email (con link per aprire il client di posta), orari di apertura dello spaccio aziendale.	250	TRUE
2	Consultazione Info Filiera	Come utente, voglio consultare informazioni relative all'origine del prodotto, affinchè possa conoscere la sostenibilità dei prodotti acquistati. 	Scansionare il QR code sulla confezione del prodotto oppure inserire manualmente il codice del lotto nella barra di ricerca della piattaforma. Il sistema riconosce il lotto e apre la pagina "Certificato di Filiera" del prodotto specifico. Consultare la cronologia della filiera presente nella pagina. Vengono mostrate le informazioni base, ovvero luogo di produzione del prodotto e animale che ha contribuito alla produzione del lotto.  Cliccare sulla sezione "Gli animali di questo lotto". Il consumatore può vedere i codici identificativi (o i nomi) delle mucche del lotto, rafforzando il legame di fiducia tra produttore e consumatore finale.	300	TRUE
3	Ricerca Aziende per prossimità	Come utente, voglio conoscere le realtà vicino a me, affinchè possa scegliere l'azienda che fa per me. 	Entrare nella piattaforma e accedere alla mappa interattiva.  Abilitare l'accesso alla propria posizione o, in alternativa, visualizzare sulla mappa la zona a sè circostante. Individuare le icone delle aziende che si trovano nelle vicinanze e cliccarvi sopra per aprire la scheda informativa dedicata.	240	TRUE
4	Salvataggio Preferiti	Come consumatore autenticato, voglio aggiungere ai miei preferiti le aziende scelte, affinchè possa differenziarle come aziende di mio interesse. 	Fare il Login come "Consumatore". Una volta selezionata l'azienda d'interesse, cliccare su "Salva tra i Preferiti" per aggiungerla alla lista dei Preferiti. Visualizzare poi la lista completa dei Preferiti per verificare che l'azienda appena salvata vi compaia.	420	TRUE
5	Info Filiera Dettagliate	Come consumatore autenticato, voglio avere accesso a dati di produzione maggiormente dettagliati, affinchè possa conoscere l'intera filiera produttiva legata al prodotto acquistato.  	Effettuare il login come "Consumatore" ed entrare nella scheda di un lotto specifico (es. scansionando il QR code). Il sistema riconosce l'utente autenticato e sblocca la sezione "Dettagli Avanzati di Filiera" (precedentemente nascosta o oscurata per gli utenti ospiti). Cliccare sulla tab "Benessere Animale Avanzato". Vengono mostrati i dati registrati dai sensori IoT applicati alle mucche che hanno contribuito a quel lotto, relativi alla settimana di mungitura quali grafico delle ore medie di ruminazione giornaliera, temperatura corporea media degli animali (per certificare l'assenza di stati febbrili/stress), livello di movimento e riposo calcolato in ore. Aprire la sezione "Dati di Stabilimento e Distribuzione". Sono visibili i tutte le informazioni e dettagli tecnici dal processo di produzione fino al punto vendita.	310	TRUE
6	Recensioni	Come consumatore autenticato, voglio recensire le aziende in cui ho acquistato, affinchè possa esprimere la mia opinione sull'esperienza vissuta presso l'azienda. 	Effettuare il login come "Consumatore", navigare nella pagina profilo dell'azienda da recensire e cliccare sul pulsante "Scrivi una Recensione". Il sistema apre un modulo (form) di inserimento con i campi valutazione numerica (es. da 1 a 5 stelle), titolo della recensione, testo del commento (opzionale o con lunghezza minima). Provare a inviare la recensione senza selezionare il punteggio in stelle. Il sistema blocca l'invio, evidenzia il campo mancante in rosso e mostra un messaggio di errore. Inserire una valutazione di 5 stelle, aggiungere il testo "Ottimi prodotti e filiera trasparente!" e cliccare su "Invia Recensione". Il modulo si chiude e il sistema mostra un messaggio di successo ("Grazie! La tua recensione è stata pubblicata"). La recensione compare immediatamente in cima alla lista delle recensioni dell'azienda, mostrando il nome (o pseudonimo) dell'utente, la data corrente e il commento. Osservare il punteggio medio dell'azienda (es. visualizzato sotto il nome dell'azienda o sulla mappa). Il sistema aggiorna istantaneamente la media complessiva delle recensioni dell'azienda per riflettere il nuovo voto appena inserito.	440	TRUE
7	Sign up 	Come utente, voglio registrarmi, affinchè possa usufruire di tutte le funzionalità offerte dall'applicazione. 	Aprire l'applicazione, cliccare su "Vai alla registrazione" e inserire i dati richiesti.  Inserire un'email non valida (es. nome@prova) o una password troppo corta (es. 123) e cliccare su "Invia". Il sistema blocca la registrazione e mostra messaggi di errore sotto i campi errati. Tentare di registrarsi utilizzando un indirizzo email già presente nel database. Il sistema impedisce la creazione dell'account e restituisce un avviso: "Utente già esistente". Compilare tutti i campi con dati validi (es. utente_test@email.it, password sicura) e cliccare su "Registrati". Il sistema salva il nuovo record nel database (con la password cifrata tramite hash). Viene mostrato un messaggio di successo: "Utente registrato con successo!". 	50	TRUE
8	Log in 	Come utente, voglio autenticarmi, affinchè possa accedere alla applicazione.	Aprire la pagina di Login, inserire l'email e la password corrette usate in fase di registrazione e cliccare su "Accedi". Il sistema valida le credenziali e genera un token di sessione sicuro. L'utente viene autenticato e reindirizzato alla sua dashboard personale. Inserire un indirizzo email valido ma una password sbagliata, un'email non registrata o lasciare uno o più campi vuoti e cliccare su "Accedi". Il sistema nega l'accesso e viene mostrato un messaggio di errore. Sulla base del ruolo dell'utente, viene reindirizzato all'area personale dedicata.	70	TRUE
9	Log out	Come utente, voglio disconnettermi, affinchè durante il non utilizzo, l'applicazione sia messa in sicurezza. 	Da utente autenticato, cliccare sull'icona del proprio profilo e selezionare il pulsante "Logout". L'utente viene immediatamente reindirizzato alla schermata di Login. 	80	TRUE
10	Recupera password 	Come utente, voglio poter recuperare la password del mio account affinchè, in caso di dimenticanza, io possa comunque accedere al mio account.  	Nella pagina di Login, cliccare sul link "Hai dimenticato la password?", inserire il proprio indirizzo email registrato e cliccare su "Invia". Il sistema verifica la presenza dell'email nel database. Mostra un messaggio di conferma: "Email inserita correttamente, riceverai istruzioni per reimpostare la password". L'utente riceve un'email contenente un link con un token di sicurezza univoco e a scadenza. Inserire un'email non presente nel database e cliccare su "Invia". Il sistema mostra il messaggio: "Utente non trovato". Cliccare sul link ricevuto via email per aprire la schermata di "Reimposta Password", inserire una nuova password debole (es. 123) e cliccare su "Salva". Il sistema blocca l'operazione e richiede il rispetto dei criteri minimi di sicurezza. Inserire una nuova password valida, confermarla nel secondo campo e cliccare su "Salva". Il sistema valida la password e sovrascrive il vecchio hash nel database con quello della nuova password. Viene mostrato un messaggio di successo: "Password aggiornata con successo". L'utente viene reindirizzato alla pagina di login, dove può accedere inserendo l'email e la nuova password appena creata.	90	TRUE
